,influencer_username,platform,text
103,aaroncgshore,influencers,first time see proper right let tear quad snow look much fun absolutely minging
104,aaroncgshore,influencers,happiest boy
105,aaroncgshore,influencers,best first xmas romeo lockdown market thing still make get home weekend think boris gna open week xmas
106,aaroncgshore,influencers,another peak soon reckon
107,aaroncgshore,influencers,romeo absolutely love first photo shoot time next year asleep arm
108,aaroncgshore,influencers,little baba
109,aaroncgshore,influencers,crack day hellvellyn boy finish none alcoholic beer top bottom always good get do trek onto next lockdown
110,aaroncgshore,influencers,time talia try teach day mum first defo say good lad
111,aaroncgshore,influencers,small man
112,aaroncgshore,influencers,christmas definitely come early must mad another baby chalmers way
113,aaroncgshore,influencers,month go slippery slope drinking lockdown lose last fight decide make decision career knock alcohol head always kept say gna end drink everything around especially training totally lose interest start care next become daily thing make decision either carry ruin career month without drop best place long time go new path training surround people championship mind set defo start rub fit healthy anxiety none next month alcohol free get back fight different level
114,aaroncgshore,influencers,start young
115,aaroncgshore,influencers,match
116,aaroncgshore,influencers,kid
117,aaroncgshore,influencers,back good time could wear suit race always
118,aaroncgshore,influencers,dad best feel whole world see little smile get home make everything worth
119,aaroncgshore,influencers,happy birthday little darling siennah hope amaze day enjoy present cake love
120,aaroncgshore,influencers,little beauty
121,aaroncgshore,influencers,little baba get big
122,aaroncgshore,influencers,big handsome last week obv bowling
123,aaroncgshore,influencers,sunday morning
124,aaroncgshore,influencers,siennah go happy get motorbike today ride chase
125,aaroncgshore,influencers,make sure know team gna support
126,aaroncgshore,influencers,family day today
127,aaroncgshore,influencers,little beautiful boy first photo shoot today thanks wait see pic
128,aaroncgshore,influencers,mini
129,aaroncgshore,influencers,lush day film coast little baldy
130,aaroncgshore,influencers,happy birthday big man crack day cuz
131,aaroncgshore,influencers,thanks fix aunty gean absolutely love
132,aaroncgshore,influencers,fight daddy hour try stay nappy tap shoulder sent way
133,aaroncgshore,influencers,father son sunday
134,aaroncgshore,influencers,little baba nan today
135,aaroncgshore,influencers,nothing well cuddle beautiful boy love
136,aaroncgshore,influencers,look love
137,aaroncgshore,influencers,little tap nappy away go beautifulboy
138,aaroncgshore,influencers,family business
139,aaroncgshore,influencers,morning run follow dip north sea morning routine sort
140,aaroncgshore,influencers,defo long hair like daddy haha deal bald egg
141,aaroncgshore,influencers,beautiful baba love son
142,aaroncgshore,influencers,little baba first shower
143,aaroncgshore,influencers,happy day little romeo need
144,aaroncgshore,influencers,look little egg head man
145,aaroncgshore,influencers,mini
146,aaroncgshore,influencers,get chunky
147,aaroncgshore,influencers,always peaceful shoulder
148,aaroncgshore,influencers,month without cut skin fade manage last time always regret cut xmas gna naughty wig
149,aaroncgshore,influencers,time last week tez enjoy beautiful coast line steady ride fast forward week good old english weather back
150,aaroncgshore,influencers,first birthday daddy
151,aaroncgshore,influencers,beautiful boy look grown today reason
152,aaroncgshore,influencers,need life beautiful boy
153,aaroncgshore,influencers,happy birthday mam hope lovely day get gin neck
154,aaroncgshore,influencers,happy birthday best mate matter make sure come fight amaze day love couple throwback pic
155,aaroncgshore,influencers,love see happy face everyday
156,aaroncgshore,influencers,little tarzan
157,aaroncgshore,influencers,handsome boy believe much change weekly basis
158,aaroncgshore,influencers,look love lenny romeo
159,aaroncgshore,influencers,beautiful little boy
160,aaroncgshore,influencers,back laugh film jtou
161,aaroncgshore,influencers,love bath
162,aaroncgshore,influencers,baba nap
163,aaroncgshore,influencers,goodnight
164,aaroncgshore,influencers,little beautiful baba romeo
165,aaroncgshore,influencers,happy big sister
166,aaroncgshore,influencers,father son morning cuddle
167,aaroncgshore,influencers,literally proudest daddy little boy literally love
168,aaroncgshore,influencers,little beautiful little wash morning
169,aaroncgshore,influencers,frown
170,aaroncgshore,influencers,throwback could leave house
171,aaroncgshore,influencers,find star long time never love whole life proudest father could possibly
172,aaroncgshore,influencers,happy easter little bunny parent police kiss mouth cheek save comment
173,aaroncgshore,influencers,siennah meeting little brother first time
174,aaroncgshore,influencers,beautiful boy home safe sound literally perfect
175,aaroncgshore,influencers,boy chalmers half pound aaron junior
176,aaroncgshore,influencers,welcome world beautiful son guess name
177,aaroncgshore,influencers,good time
178,aaroncgshore,influencers,look like race cancel year bro cuz look smart suit
179,aaroncgshore,influencers,good chat champ champ fight saturday night positive word onto next
180,aaroncgshore,influencers,still winner eye
181,aaroncgshore,influencers,last hard wrestling round do today bro feel weight good saturday fun front unreal dublin crowd
182,aaroncgshore,influencers,bite mine bite wait back sun couple week every favourite winter destination
183,aaroncgshore,influencers,baba pick flower wall baby shower
184,aaroncgshore,influencers,happy birthday little bro tez couple pic year ill keep embarrass hope properly thailand
185,aaroncgshore,influencers,fight alex go round fight see bellatordublin
186,aaroncgshore,influencers,take knee sent dizzy left strangle
187,aaroncgshore,influencers,bellatordublin
188,aaroncgshore,influencers,boy
189,aaroncgshore,influencers,remembrance sunday bro serve royal marine
190,aaroncgshore,influencers,always nice catch get word neither much catch
191,aaroncgshore,influencers,best surprise go daddy wait meet
192,aaroncgshore,influencers,lovely scran boy
193,aaroncgshore,influencers,joker
194,aaroncgshore,influencers,make boy look smart fuck lady day place get suit
195,aaroncgshore,influencers,crack night last night nice meet
196,aaroncgshore,influencers,best pic always good see always try lead astray
197,aaroncgshore,influencers,scrub areet sometimes tonight london
198,aaroncgshore,influencers,trip upto family get suit boot race weekend
199,aaroncgshore,influencers,beautiful formula thanks amaze day
200,adamcollard,influencers,back natural habitat
201,adamcollard,influencers,work capacity wednesday bring save workout conditioning trx part every set thruster trx row rollouts part every set row swing box jump get ready crew come save share friend
202,adamcollard,influencers,back one favourite spot ready bring zen tzatziki
203,adamcollard,influencers,sunday sesh emom scale whatever manage minute work rest emom double push press cal ski renegade row cal bike use today suppose rest day since travel tomorrow want increase expenditure enjoy greek food bit train sculpt
204,adamcollard,influencers,training lazy choose look people want transform body little reopen coach give support around clock tour mindset importantly check twice per week fall track want chat fill form link top bio get
205,adamcollard,influencers,ferocity approach everyday tomorrow episode welcome guest ben box owner father one notorious coach crossfit space last coach like many without doubt best episode date live apple spotify gmt drop podcast review share like liftlaughlifepodcast
206,adamcollard,influencers,really love training fun feel cling onto strength honest triathlon incoming feel good train client cater individual goal session front squat rep deadlift rep rep knee toe split squat set leg posterior bias conditioning set cal ski ghd sit ups power snatch work rest ratio sculpt
207,adamcollard,influencers,big ring
208,adamcollard,influencers,soy chilli honey salmon number one even meal power use salmon side cooked meal worth uncle ben rice also grab muscle food create hamper super easy cook great way prep meal family ingredient people uncle ben white rice salmon side use half honey spray easy chilli garlic pot healthy tea spoon try like food content musclefood
209,adamcollard,influencers,set tone monday want work check link bio coach front squat set rep bodybuilding work round nordic hamstring curl hip thrust rest need set conditioning emom thruster pull ups burpees cal bike rest minute get lit
210,adamcollard,influencers,man mission show people train eat well live little along good bit time last weekend españa
211,adamcollard,influencers,super saturday vibe lift squat set back squat building workout day pair amrap cal ski squat clean rest amrap devil press toe bar box jump rest total round get love jumping atmosphere community unmatched
212,adamcollard,influencers,sculpt programme get minute example workout sign online programme warm minute cardio side pigeon jefferson curl bodyweight reverse lunge blackburn press ups repeat one round rest get kit workout workout day every set total bike single arm thruster bike single arm row bike snatch use single give pop let know get
213,adamcollard,influencers,friday vibe run program speed session round hard easy gym basic seat good morning deadlifts pull ups bench press amrap ghd sit ups push press bike
214,adamcollard,influencers,dumbbell emom workout keep stuck two away holiday emom lunge renegade plank row dual devil press chest press floor good simple one anyone get teeth stuck summer vibe drinking nocco fuel cool hot day
215,adamcollard,influencers,breakfast wrap one mini wrap cals egg bacon medallion little chilli jam ketchup quick easy get every month muscle food hamper keep nutrition taper portion size calorie allowance daily basis use mine
216,adamcollard,influencers,tuesday sauce
217,adamcollard,influencers,bellisssimo pizza back bang upgraded well brand new carbonara flavour high protein still around cals love work thing like diet keep sane try turn gas cut phase try drop body enjoy food love still see result available meal plan favourite one get try cheeseburger bang
218,adamcollard,influencers,run girl swipe along see amaze woman progress pic stood last week girl smash follow every step along way regular check in picture goal project tighten nutrition little bit accountable training kirsty opt coach year training experience need plan put place picture one hybrid client previously start sculpt smash ticked daily habit set almost perfect could small change picture progress outstanding picture show squat deadlifts also go roof katrina female fat loss programme commercial goal bring back booty get do love training hundred woman individual different right plan work result want work check link bio drop chat best get back email also always open
219,adamcollard,influencers,tasty little finish upper body day want try one save want help get shape check transformation link bio every minute minute minute odd single hang clean jerk even cal ski second second work rest great one light lat tris make perfect end upper body day
220,adamcollard,influencers,good vibe
221,adamcollard,influencers,short simple conditioning mate smash partner cal bike time switch partner every cals rest partner complete toe bar rest sculpt
222,adamcollard,influencers,workout day strength front squat set rep set rep moderate set rep heavy load rest need partner workout amrap double unders sit ups box jump front squat split rep rest partner keep bar front rack position bit even get action first ever crossfit wod
223,adamcollard,influencers,
224,adamcollard,influencers,suffer tight hip save try later hip mobility routine shinbox hip opener world best stretch frog stretch foot open hip car minute train recover let know like
225,adamcollard,influencers,work capacity wednesday interval part deadlifts last week set ski barbell thruster box jump over rep decrease round rest round save give scale weight suit make one sprint recover one favourite gym king set moment late collection gymking sculpt
226,adamcollard,influencers,hardio tuesday
227,adamcollard,influencers,saturday send second low body week save later tag gym buddy squat format every set front squat strict knee tuck set reverse lunge plate rest set workout day time complete bike calorie set complete deadlifts deadlifts busy gym goblet box step ups
228,adamcollard,influencers,finish strong friday save one later work rest set total cal ski hang clean jerk burpees great one finish session ideally pair upper bias enjoy comment like
229,adamcollard,influencers,thursday motivation get reading pipeline look pretty excite right sculpt
230,adamcollard,influencers,way brutal upper body lit every minute minute minute strict pull hang power push press manage break pull ups amrap sculpt
231,adamcollard,influencers,watch space start progress hyrox hyroxworld hyroxlondon hyroxfamily hyroxtraining hyroxcoach hyroxuk hyroxworkout hyroxmastertrainer hyroxmastercoach
232,adamcollard,influencers,first car giveaway would love give chance drive style summer win audi convertible follow rule everyone follow link bio quick easy tag friend comment chance win audi convertible good luck prize audi car prize hair voucher prize glaze hair prize glo lamp audi come year audi warranty start date february also come year break enter must follow account day entry play social follow note account may alternate affect entry eligibility along correct detail competition form giveaway sponsor play full entry please fill form audi contestant winner age must insurable adult full license receive day drive away winner announce plus receive cash alternative option available play social send message personal please report block play social email winner enter give away affiliate audi
233,adamcollard,influencers,vit active recovery good vibe
234,adamcollard,influencers,training eat drinking good good wanna come month away still couple spot left come get day training session good food around hike good food training session session yoga flow good vibe either villa local greek restaurant much boat party party every night fitness good get good fitness session suitable level check page activeescapes
235,adamcollard,influencers,first ever hyrox boxed shoutout partner push bad first time run even extra lap mistake enjoy definitely last one hyrox workout run ski run sled push run sled pull run burpee broad jump run row run farmer walk run sandbag lunge run wall ball mixed sex double
236,adamcollard,influencers,sick knee pain gym save send someone need combination stretch surround strengthen big range motion may key reduce pain life couch stretch poliquin step down atg split squat month knee pain hurt even drive movement definitely help sometimes would use routine leg day lot squat lunge big inspiration alongside training programme learnt life comment like sculpt
237,adamcollard,influencers,today episode discus thing get basic common mistake see hold people back year even though try cameo give episode watch listen spotify apple podcasts let know think theliftlaughlifepodcast sculpt
238,adamcollard,influencers,put challenge see eat normal day training work want improve nutrition know start check easy follow stress free question day let know also add extra fruit shake top calorie musclefood sculpt mfgoalgetters
239,adamcollard,influencers,get low back pain tag someone could help mask tackle head movement improve strength well learnt lot past year try implement put spin member online try add set rep light load jefferson curl feel delicious posterior chain squat work let know sculpt
240,adamcollard,influencers,upper tuesday training today strength set push press set push jerk building show back building superset set bent pendlay row max chin ups rest upper body bias conditioning focus strict form good rep move quick skip run round time double unders ring dip gorilla row rest round time run push press strict pull ups sculpt
241,adamcollard,influencers,set chase sculpt
242,adamcollard,influencers,feel like blue brings
243,adamcollard,influencers,
244,adamcollard,influencers,pull get tough one save steal later get set building weight barbell strict shoulder press pull ups set rest part functional chest back grinder every set bench pendlay row ski pump ab set barbell curl hollowhold leg raise simple effective upper sculpt
245,adamcollard,influencers,active already swipe check late runner active range quality summer session
246,adamcollard,influencers,find people live listen apple spotify watch new episode every friday chat thing life love online building client base transition race good sculpt
247,adamcollard,influencers,hardio emom cal assault bike tick burpees double unders pretty happy hit drop double unders round due trippy trippy sculpt online gym member watch sculpt
248,adamcollard,influencers,taste rainbow wednesday deadlift strength warm first lighter set every set deadlifts big old work capacity wednesday sculpt do new challenge day get best shape life train every learn nutrition change daily link sculpt
249,adamcollard,influencers,kentucky fry life hack bloody love fry sadly well try stay lean year round provide good burger chip kfc level damn good simple cook face probably follow ate fast food time per week great cals per pack add extra fare gain protein carbs fat macro calorie banging recommend get pack though eat someone may fight death grab use link bio save new
250,adamcollard,influencers,want big well leg sound save grab set perform good bulgarian split squat per set weight bulgarian split squat max rep body weight rest switch leg perform second leg rest minute repeat total set squat heavy improves strength necessarily get muscular contraction tend catch squat single leg movement like try also rack look sculpt
251,adamcollard,influencers,eat lift heavy as wear good active love lifestyle front rack farmer walk add workout test core thank sculpt
252,adamcollard,influencers,save quick fire finisher end leg day quick one need save transformation challenge today link bio time front squat kind thing throw one programme finish leg day bring core workout home dumbbell join new challenge live suitable fitness level check link bio right sculpt
253,adamcollard,influencers,get comfort great little test run open water swim trail run man kick holiday weekend nice strip back start new venture basic get expert coach thing tri look forward tick goal put training inside gym use see make top great good sculpt omnia
254,adamcollard,influencers,super saturday save need clock ski choice amrap ski sumo deadlift high pull rest amrap ski front squat rest amrap ski burpees bar do tempo back squat lunge day strength gym pair class sculpt
255,adamcollard,influencers,quad dig new runner high range drop check online via boohooman app boohooman
256,adamcollard,influencers,thursday recovery flow minute steady continuous move cal assault bike sled push rep exercise choice change walk lunge exercise rotation deadbug hollow rock sit ups hang move nice easy follow sculpt
